date,country,rank,previousRank,totalPoints,previousPoints,flagUrl,countryUrl,conf
2023-12-21,Guyana,157,157,1018.14,1018.14,https://api.fifa.com/api/v3/picture/flags-sq-2/GUY,https://www.fifa.com/fifa-world-ranking/GUY,CONCACAF
2023-12-21,Afghanistan,158,158,1017.68,1017.68,https://api.fifa.com/api/v3/picture/flags-sq-2/AFG,https://www.fifa.com/fifa-world-ranking/AFG,AFC
2023-12-21,New Caledonia,159,160,1008.92,1004.76,https://api.fifa.com/api/v3/picture/flags-sq-2/NCL,https://www.fifa.com/fifa-world-ranking/NCL,OFC
2023-12-21,Puerto Rico,160,159,1007.19,1007.19,https://api.fifa.com/api/v3/picture/flags-sq-2/PUR,https://www.fifa.com/fifa-world-ranking/PUR,CONCACAF
2023-12-21,Maldives,161,161,1003.48,1003.48,https://api.fifa.com/api/v3/picture/flags-sq-2/MDV,https://www.fifa.com/fifa-world-ranking/MDV,AFC
2023-12-21,Myanmar,162,162,1000.46,1000.46,https://api.fifa.com/api/v3/picture/flags-sq-2/MYA,https://www.fifa.com/fifa-world-ranking/MYA,AFC
2023-12-21,Tahiti,163,164,999.48,994.97,https://api.fifa.com/api/v3/picture/flags-sq-2/TAH,https://www.fifa.com/fifa-world-ranking/TAH,OFC
2023-12-21,Andorra,164,163,998,998,https://api.fifa.com/api/v3/picture/flags-sq-2/AND,https://www.fifa.com/fifa-world-ranking/AND,UEFA
2023-12-21,Papua New Guinea,165,165,990.61,991.01,https://api.fifa.com/api/v3/picture/flags-sq-2/PNG,https://www.fifa.com/fifa-world-ranking/PNG,OFC
2023-12-21,South Sudan,166,166,989.29,989.29,https://api.fifa.com/api/v3/picture/flags-sq-2/SSD,https://www.fifa.com/fifa-world-ranking/SSD,CAF
2023-12-21,Saint Lucia,167,167,988.67,988.67,https://api.fifa.com/api/v3/picture/flags-sq-2/LCA,https://www.fifa.com/fifa-world-ranking/LCA,CONCACAF
2023-12-21,Fiji,168,170,981.26,980.62,https://api.fifa.com/api/v3/picture/flags-sq-2/FIJ,https://www.fifa.com/fifa-world-ranking/FIJ,OFC
2023-12-21,Cuba,169,169,980.65,980.65,https://api.fifa.com/api/v3/picture/flags-sq-2/CUB,https://www.fifa.com/fifa-world-ranking/CUB,CONCACAF
2023-12-21,Vanuatu,170,168,980.33,985.26,https://api.fifa.com/api/v3/picture/flags-sq-2/VAN,https://www.fifa.com/fifa-world-ranking/VAN,OFC
2023-12-21,Bermuda,171,171,972.36,972.36,https://api.fifa.com/api/v3/picture/flags-sq-2/BER,https://www.fifa.com/fifa-world-ranking/BER,CONCACAF
2023-12-21,Malta,172,172,967.29,967.29,https://api.fifa.com/api/v3/picture/flags-sq-2/MLT,https://www.fifa.com/fifa-world-ranking/MLT,UEFA
2023-12-21,Saint Vincent and the Grenadines,173,173,953.47,953.47,https://api.fifa.com/api/v3/picture/flags-sq-2/VIN,https://www.fifa.com/fifa-world-ranking/VIN,CONCACAF
2023-12-21,Grenada,174,174,950.99,950.99,https://api.fifa.com/api/v3/picture/flags-sq-2/GRN,https://www.fifa.com/fifa-world-ranking/GRN,CONCACAF
2023-12-21,Nepal,175,175,948.05,948.05,https://api.fifa.com/api/v3/picture/flags-sq-2/NEP,https://www.fifa.com/fifa-world-ranking/NEP,AFC
2023-12-21,Montserrat,176,176,946.08,946.08,https://api.fifa.com/api/v3/picture/flags-sq-2/MSR,https://www.fifa.com/fifa-world-ranking/MSR,CONCACAF
2023-12-21,Mauritius,177,177,944.95,944.95,https://api.fifa.com/api/v3/picture/flags-sq-2/MRI,https://www.fifa.com/fifa-world-ranking/MRI,CAF
